MINISTERE DU BUDGET,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,REPUBLIQUE DE GUINEE,Unnamed: 15,Unnamed: 16,Unnamed: 17,Source,NUMERO,Annee,Mois,REGIE,CATEGORIE,RUBRIQUES,CODE,ID,Prevision,Realisation,ÉCART,Taux,Mois_num,Date
DIRECTION GENERALE  DES DOUANES,,,,,,TABLEAU: N° I,,,,,,,,Travail Justice Solidarité,,,,ABOUBACAR BUDGET,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ABOUBACAR BUDGET,,,,,,,,,,,,,,
"SUIVI DES RECETTES DOUNAIERES, SUIVANT LE CONTRAT DE PERFORMANCE, LFI 2023",,,,,,,,,,,,,,,,,,ABOUBACAR BUDGET,,,,,,,,,,,,,,
EXERCICE 2023,,,,,,,,,,,,,,,,,,ABOUBACAR BUDGET,,,,,,,,,,,,,,
RUBRIQUES,,,"Janvier-Décembre
2023
(LFI 2023)",Janvier,Février,Mars ,Avril,Mai,Juin,Juillet,Août,Sept,Octobre,Nov,Décembre,Total,Taux,ABOUBACAR BUDGET,,,,,,,,,,,,,,
I  -  PRODUITS PETROLIERS ( en milliers de GNF ),,,,,,,,,,,,,,,,,,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Taxe sur la Valeur Ajoutée,TVA,P,675989323,16321382,21899316,20516794,26638517,21576356,176772985,190432524,98000363,134125710,115432264,83377090,59771679,964864980,1.427337603082231,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Taxe Specifique sur les Produits Petroliers,TSPP,P,34276837,318314,332650,589418,458390,907062,6868929,21166017,1786316,1699130,743194,1134668,701210,36705298,1.070848456641434,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Droit Fiscal à L'Importation,DFI,P,790576855,25694544,68827955,55880664,70363974,71107213,111405772,114482017,90416343,103018641,74943445,42292187,50015079,878447834,1.1111479275471579,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Taxe d'Entreposage,TEN,P,112151043,13386228,7772569,7853731,11530265,8200776,11428133,11499667,9869674,7738202,10838480,11811417,1490838,113419980,1.011314535879974,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Redevance Traitement Liquidation,RTL,P,320553843,12694041,10354572,9848797,19343644,16429722,20853001,20720780,12501065,16127207,17189994,18632602,7629229,182324654,0.568780122221152,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Total - I,,,1933547901,68414509,109187062,94689404,128334790,118221129,327328820,358301005,212573761,262708890,219147377,157247964,119608035,2175762746,1.1252696376824853,ABOUBACAR BUDGET,,,,,,,,,,,,,,
II  -  PRODUITS MINIERS (En milliers de GNF),,,,,,,,,,,,,,,,,,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Taxe à l' Exportation sur les Substances Minières,TESM,,2000514537,159849650,128214553,148662298,211612650,151050541,185621450,155446000,109614577,121401135,158767393,128922015,168410791,1827573053,0.9135514984763142,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Taxe à l' Exportation sur la Production Artisanale de l'Or et autres pièrres précieuse ,,,63499464,7716430,5401254,2757182,1323830,3128962,3232859,5654529,2725575,2558691,5768830,9165228,4336406,53769776,0.8467752735676635,ABOUBACAR BUDGET,,,,,,,,,,,,,,
 Total  II  ,,,2064014001,167566080,133615807,151419480,212936480,154179503,188854309,161100529,112340152,123959826,164536223,138087243,172747197,1881342829,0.9114971255468727,ABOUBACAR BUDGET,,,,,,,,,,,,,,
III  -  AUTRES PRODUITS ( en milliers de GNF ),,,,,,,,,,,,,,,,,,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Taxe sur la Valeur Ajoutée,TVA,HP,2042408222,106547191,113456452,219727887,162874643,185446883,223167601,181739352,245764521,208812611,220906730,279159959,195561636,2343165466,1.1472561854972791,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Droits d'Accises ,ACC,,193698320,13186699,11567722,19670159,14574243,14839435,10963613,10776060,8373931,12155301,19114826,18004929,17569529,170796447,0.8817652471121071,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Droit Fiscal à L'Importation,DFI,HP,1849854834,107216889,87201379,154424916,129845388,169179177,196907665,168969687,220917408,184492846,234534179,230609909,190285416,2074584859,1.1214852219047151,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Droit de Magasinage,DM,,530000,0,20000,110000,10000,20000,10000,10000,10000,0,20000,5000,10000,225000,0.42452830188679247,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Taxe d'Entreposage,TEN,HP,8508368,463126,1276228,387738,836475,727564,989686,918152,1454608,842919,3624537,2057752,1062562,14641347,1.720817317727677,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Redevance Traitement Liquidation,RTL,HP,398467398,10226534,26969640,33550150,25504690,35827734,39975473,37470569,35175662,37945475,42444136,39001330,39869605,403960998,1.0137868242861867,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Produit Vente aux Enchéres,PVE,,8033988,425282,842975,740240,1359723,670994,457322,230523,344930,386323,311326,188237,192191,6150066,0.7655059977684806,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Taxe d'Enregistrement,TE,,126988534,1886759,3029896,3209953,1609590,1843320,2785189,2749812,2330657,2799406,3167610,6168853,4900478,36481523,0.2872820234305563,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Taxe Conjoncturelle de Protection,TCP,,31255692,1786417,2925143,2527363,1607869,3121635,3141554,2948095,3098690,2720707,3199148,3568655,3660752,34306028,0,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Redevance Prèstation Administrative,RPA,,4686800,376000,369000,426700,284400,374000,592500,594900,275000,233100,375100,550000,326800,4777500,1.019352223265341,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Amendes et Confiscations douanières,AC,,1520000,0,0,0,0,0,0,0,0,0,523190,8779094,1393809,10696093,0,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Droit Fiscal de Sortie ( produits de crue ),DFS,,7377448,438378,720420,685564,950675,687037,632109,594633,604593,574531,1732080,389726,498916,8508662,1.153334052642594,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Autres Comptes à Recevoir (Exclos),ACR,,394491390,119823022,160523501,61442013,3499437,35249957,865130,0,0,0,0,0,0,381403060,0.9668222670208341,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Total - III,,,5067820994,362376297,408902356,496902683,342957133,447987736,480487842,407001783,518350000,450963219,529952862,588483444,455331694,5489697049,1.0832460450950174,ABOUBACAR BUDGET,,,,,,,,,,,,,,
"Totaux Généraux RP (Total I+II+III)
",,,9065382896,598356886,651705225,743011567,684228403,720388368,996670971,926403317,843263913,837631935,913636462,883818651,747686926,9546802624,1.0531052834196801,ABOUBACAR BUDGET,,,,,,,,,,,,,,
IV - RECETTES D'ORDRES,,,,,,,,,,,,,,,,,,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Redevance Entretien Routier,RER,P,524162596,48812106,43357116,38871427,71621008,56340817,56048902,63122819,40365155,58066225,53891858,55987816,17006829,603492078,1.1513451791588731,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Chèque Trésor Série Spécial ,CTSS,,204006804,18704430,6593623,25703648,2890094,46009846,22623177,5768214,19234359,17569997,43295218,12978528,3156508,224527642,1.1005889881986486,ABOUBACAR BUDGET,,,,,,,,,,,,,,
Total - IV,,,728169400,67516536,49950739,64575075,74511102,102350663,78672079,68891033,59599514,75636222,97187076,68966344,20163337,828019720,1.137125125005253,ABOUBACAR BUDGET,,,,,,,,,,,,,,
TOTAL GENERAUX (Total = I+II+III+IV),,,9793552296,665873422,701655964,807586642,758739505,822739031,1075343050,995294350,902863427,913268157,1010823538,952784995,767850263,10374822344,1.059352319815294,ABOUBACAR BUDGET,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Conakry, le 05 Janvier 2024",,,,ABOUBACAR BUDGET,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,MODELE RECETTE,1.0,2024.0,JANV,DGD,MINERAIS D'OR,SAG,,,52152860960.0,20160683182.0,-31992177778.0,0.3865690742730828,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,2.0,2024.0,JANV,DGD,MINERAIS D'OR,SMD,,,9785957112.0,10208187515.0,422230403.0,1.043146561768827,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,3.0,2024.0,JANV,DGD,MINERAIS D'OR,GBG,,,1520285625.0,0.0,-1520285625.0,0.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,4.0,2024.0,JANV,DGD,MINERAIS D'OR,GG EXPLORATION,,,1967535503.0,0.0,-1967535503.0,0.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,5.0,2024.0,JANV,DGD,MINERAIS D'OR,G MINING KOREA C,,,2870167.0,0.0,-2870167.0,0.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,6.0,2024.0,JANV,DGD,MINERAIS D'OR,SM MANDIANA,,,12768021076.0,9659271540.0,-3108749536.0,0.7565206450165167,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,7.0,2024.0,JANV,DGD,MINERAIS D'OR,"Ryda Group et Rohax
International (R ET R)",,,20369630.0,0.0,-20369630.0,0.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,8.0,2024.0,JANV,DGD,MINERAIS D'OR,NEW JAPANMINING COMPANY,,,792680406.0,0.0,-792680406.0,0.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,9.0,2024.0,JANV,DGD,MINERAIS D'OR,KOUROUSSA MINE,,,0.0,1743631418.0,1743631418.0,0.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,10.0,2024.0,JANV,DGD,MINERAIS D'OR,MARKET BIS GO SARL,,,0.0,0.0,0.0,0.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,11.0,2024.0,JANV,DGD,MINERAIS D'OR,S WELLY MINING,,,0.0,0.0,0.0,0.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,12.0,2024.0,JANV,DGD,MINERAIS D'OR,PARTICUIERS,,,2225609773.0,10093978435.0,7868368662.0,4.5353765774464,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,13.0,2024.0,JANV,DGD,MINERAIS DES BAUXITES,SMB,,,88314353980.0,78207538935.0,-10106815045.0,0.885558636965302,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,14.0,2024.0,JANV,DGD,MINERAIS DES BAUXITES,BELL AIR MINING,,,7384220479.0,7241907075.0,-142313404.0,0.9807273625693158,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,15.0,2024.0,JANV,DGD,MINERAIS DES BAUXITES,AGBA (SD MINING ),,,735599083.0,18663938986.0,17928339903.0,25.37243373099746,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,16.0,2024.0,JANV,DGD,MINERAIS DES BAUXITES,AG2BA (KANTE ),,,0.0,850303580.0,850303580.0,0.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,17.0,2024.0,JANV,DGD,MINERAIS DES BAUXITES,KIMBO,,,152602912.0,0.0,-152602912.0,0.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,18.0,2024.0,JANV,DGD,MINERAIS DES BAUXITES,ASHAPOURA,,,4197789324.0,5578115045.0,1380325721.0,1.328822057150003,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,19.0,2024.0,JANV,DGD,MINERAIS DES BAUXITES,TOP GUINEE MINING,,,3845083.0,0.0,-3845083.0,0.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,20.0,2024.0,JANV,DGD,MINERAIS DES BAUXITES,DYNAMIQUE MINNNG,,,0.0,0.0,0.0,0.0,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,21.0,2024.0,JANV,DGD,MINERAIS DES BAUXITES,COBAD,,,3825823640.0,4900748919.0,1074925279.0,1.280965716182359,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,22.0,2024.0,JANV,DGD,MINERAIS DES BAUXITES,CDM CHINE,,,-4005700840.0,26863068302.0,30868769142.0,-6.706209318916587,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,23.0,2024.0,JANV,DGD,MINERAIS DES BAUXITES,CHALCO GUINEE,,,-10671946605.0,19917885577.0,30589832182.0,-1.8663779265601,1.0,2024-01-01
,,,,,,,,,,,,,,,,,,MODELE RECETTE,24.0,2024.0,JANV,DGD,MINERAIS DES BAUXITES,SPIC INTER INVEST,,,3494650138.0,0.0,-3494650138.0,0.0,1.0,2024-01-01
